Gene Symbol /Region Name,HGNC/Dosage ID,GRCh37,GRCh38,HI Score,TS Score,LastEvaluated Date
BRSK2,HGNC:11405,11:1411164-1483919,11:1389934-1462689,SufficientEvidence,NoEvidence,1/13/2026
BRWD3,HGNC:17342,X:79925002-80065376,X:80669503-80809877,SufficientEvidence,NoEvidence,8/24/2022
BTK,HGNC:1133,X:100604438-100645784,X:101349450-101390796,SufficientEvidence,NoEvidence,3/24/2021
CACNA1A,HGNC:1388,19:13317256-13617293,19:13206442-13506479,SufficientEvidence,NoEvidence,5/21/2017
CAMTA1,HGNC:18806,1:6845514-7829766,1:6785454-7769706,SufficientEvidence,NoEvidence,12/14/2017
CASK,HGNC:1497,X:41374187-41782807,X:41514934-41923554,SufficientEvidence,NoEvidence,6/28/2012
CD40LG,HGNC:11935,X:135730317-135742549,X:136648158-136660390,SufficientEvidence,NoEvidence,4/8/2020
CDC73,HGNC:16783,1:193091161-193223945,1:193122031-193254815,SufficientEvidence,NoEvidence,4/13/2022
CDH1,HGNC:1748,16:68771195-68869440,16:68737292-68835537,SufficientEvidence,NoEvidence,4/10/2020
CDK13,HGNC:1733,7:39989855-40139179,7:39950256-40099580,SufficientEvidence,NoEvidence,9/4/2025
CDKL5,HGNC:11411,X:18443728-18671749,X:18425608-18653629,SufficientEvidence,NoEvidence,7/12/2012
CDKN1B,HGNC:1785,12:12870302-12875303,12:12717368-12722369,SufficientEvidence,NoEvidence,7/8/2020
CDKN1C,HGNC:1786,11:2904448-2907005,11:2883218-2885775,SufficientEvidence,NoEvidence,9/25/2020
CDKN2A,HGNC:1787,9:21967751-21995323,9:21967752-21995324,SufficientEvidence,NoEvidence,3/18/2022
CHD2,HGNC:1917,15:93443554-93571226,15:92900324-93027996,SufficientEvidence,NoEvidence,10/23/2019
CHD7,HGNC:20626,8:61591299-61780587,8:60678740-60868028,SufficientEvidence,NoEvidence,4/11/2023
CHD8,HGNC:20153,14:21853358-21924282,14:21385199-21456123,SufficientEvidence,NoEvidence,4/25/2018
CHEK2,HGNC:16627,22:29083731-29137822,22:28687743-28741834,SufficientEvidence,NoEvidence,1/8/2020
CHM,HGNC:1940,X:85116185-85302562,X:85861180-86047558,SufficientEvidence,NoEvidence,3/24/2021
CHRDL1,HGNC:29861,X:109917084-110039045,X:110673856-110795817,SufficientEvidence,NoEvidence,12/8/2016
CIC,HGNC:14214,19:42772682-42799948,19:42268530-42295796,SufficientEvidence,NoEvidence,11/8/2022
CLCN5,HGNC:2023,X:49687206-49863887,X:49922596-50099230,SufficientEvidence,NoEvidence,10/18/2012
CLTC,HGNC:2092,17:57697256-57774317,17:59619895-59696956,SufficientEvidence,NoEvidence,9/27/2022
CNKSR2,HGNC:19701,X:21392536-21672807,X:21374418-21654689,SufficientEvidence,NoEvidence,1/12/2021
CNOT1,HGNC:7877,16:58553855-58663730,16:58519951-58629826,SufficientEvidence,NoEvidence,12/13/2022
COL1A1,HGNC:2197,17:48261462-48278992,17:50184101-50201631,SufficientEvidence,NoEvidence,8/23/2012
COL2A1,HGNC:2200,12:48366750-48398259,12:47972967-48006212,SufficientEvidence,NoEvidence,7/29/2020
COL3A1,HGNC:2201,2:189839099-189877472,2:188974373-189012746,SufficientEvidence,NoEvidence,1/12/2017
COL4A5,HGNC:2207,X:107683068-107940775,X:108439838-108697545,SufficientEvidence,NoEvidence,9/8/2020
COL5A1,HGNC:2209,9:137533649-137736689,9:134641803-134844843,SufficientEvidence,NoEvidence,12/14/2017
CREBBP,HGNC:2348,16:3775055-3930714,16:3725054-3880713,SufficientEvidence,NoEvidence,10/23/2019
CTCF,HGNC:13723,16:67596429-67673088,16:67562526-67639185,SufficientEvidence,NoEvidence,9/22/2021
CTNNA1,HGNC:2509,5:138089114-138270723,5:138753425-138935034,SufficientEvidence,NoEvidence,10/12/2022
CTNNB1,HGNC:2514,3:41240996-41281934,3:41199505-41240443,SufficientEvidence,NoEvidence,11/22/2017
CUL3,HGNC:2553,2:225334867-225450080,2:224470150-224585363,SufficientEvidence,NoEvidence,1/24/2018
CUL4B,HGNC:2555,X:119657713-119709387,X:120523858-120575532,SufficientEvidence,NoEvidence,2/9/2021
CYBB,HGNC:2578,X:37639312-37672714,X:37780059-37813461,SufficientEvidence,NoEvidence,5/27/2020
CYLD,HGNC:2584,16:50775997-50835846,16:50742086-50801935,SufficientEvidence,NoEvidence,2/10/2021
DCX,HGNC:2714,X:110537007-110655420,X:111293779-111412192,SufficientEvidence,NoEvidence,7/6/2012
DDX3X,HGNC:2745,X:41192561-41223725,X:41333308-41364472,SufficientEvidence,NoEvidence,11/22/2017
DDX41,HGNC:18674,5:176938578-176943962,5:177511577-177516961,SufficientEvidence,NoEvidence,2/9/2022
DEPDC5,HGNC:18423,22:32149954-32304019,22:31753968-31908033,SufficientEvidence,NoEvidence,6/30/2025
DICER1,HGNC:17098,14:95552565-95624347,14:95086228-95158010,SufficientEvidence,NoEvidence,2/9/2022
DLG3,HGNC:2902,X:69664685-69725340,X:70444835-70505490,SufficientEvidence,NoEvidence,4/25/2024
DLG4,HGNC:2903,17:7090506-7123369,17:7187187-7220050,SufficientEvidence,NoEvidence,10/10/2023
DLL1,HGNC:2908,6:170591294-170600166,6:170282206-170291078,SufficientEvidence,NoEvidence,3/9/2021
DMD,HGNC:2928,X:31137339-33357505,X:31119222-33339388,SufficientEvidence,NoEvidence,11/20/2019
DNMT3A,HGNC:2978,2:25450743-25565459,2:25227874-25342590,SufficientEvidence,NoEvidence,9/25/2024
DSP,HGNC:3052,6:7541904-7586947,6:7541671-7586714,SufficientEvidence,NoEvidence,10/12/2021
DYRK1A,HGNC:3091,21:38737875-38898660,21:37365573-37526358,SufficientEvidence,NoEvidence,12/16/2020
EBF3,HGNC:19087,10:131633497-131762538,10:129835233-129964274,SufficientEvidence,NoEvidence,12/6/2023
EBP,HGNC:3133,X:48380196-48387104,X:48521808-48528716,SufficientEvidence,NoEvidence,1/22/2020
EDA,HGNC:3157,X:68835957-69259322,X:69616113-70039472,SufficientEvidence,NoEvidence,1/25/2023
EFNB1,HGNC:3226,X:68048864-68062003,X:68829021-68842160,SufficientEvidence,LittleEvidence,5/13/2025
EFTUD2,HGNC:30858,17:42927316-42976813,17:44849948-44899445,SufficientEvidence,NoEvidence,5/23/2013
EHMT1,HGNC:24650,9:140513457-140730579,9:137619005-137836127,SufficientEvidence,LittleEvidence,7/6/2012
ELN,HGNC:3327,7:73442503-73484237,7:74028173-74069907,SufficientEvidence,NoEvidence,7/10/2012
ENG,HGNC:3349,9:130577291-130617052,9:127815016-127854658,SufficientEvidence,NoEvidence,1/11/2024
EP300,HGNC:3373,22:41488596-41576081,22:41092592-41180077,SufficientEvidence,NoEvidence,3/14/2013
ERF,HGNC:3444,19:42751721-42759280,19:42247569-42255128,SufficientEvidence,NoEvidence,6/8/2021
ETV6,HGNC:3495,12:11802608-12048311,12:11649674-11895377,SufficientEvidence,NoEvidence,1/11/2023
EXT1,HGNC:3512,8:118806729-119124065,8:117794490-118111826,SufficientEvidence,NoEvidence,6/17/2020
EXT2,HGNC:3513,11:44117228-44273512,11:44095678-44251962,SufficientEvidence,NoEvidence,6/23/2020
EYA1,HGNC:3519,8:72109668-72460329,8:71197433-71548094,SufficientEvidence,NoEvidence,8/26/2020
EYA4,HGNC:3522,6:133562495-133853266,6:133240593-133532128,SufficientEvidence,NoEvidence,1/22/2020
F8,HGNC:3546,X:154064067-154250998,X:154835792-155022723,SufficientEvidence,NoEvidence,10/13/2020
F9,HGNC:3551,X:138612898-138645618,X:139530739-139563459,SufficientEvidence,NoEvidence,1/12/2021
FANCB,HGNC:3583,X:14861527-14891191,X:14689524-14873069,SufficientEvidence,NoEvidence,6/23/2021
FBN1,HGNC:3603,15:48700510-48937906,15:48408313-48645709,SufficientEvidence,NoEvidence,12/4/2019
FGD1,HGNC:3663,X:54471887-54522667,X:54445454-54496234,SufficientEvidence,NoEvidence,5/26/2021
FGF10,HGNC:3666,5:44300349-44389522,5:44300247-44389420,SufficientEvidence,NoEvidence,2/23/2022
FGFR1,HGNC:3688,8:38268661-38326153,8:38411143-38468635,SufficientEvidence,NoEvidence,4/5/2021
FH,HGNC:3700,1:241660903-241683055,1:241497603-241519755,SufficientEvidence,NoEvidence,7/6/2020
FLCN,HGNC:27310,17:17115526-17140482,17:17212212-17237330,SufficientEvidence,NoEvidence,1/11/2023
FLG,HGNC:3748,1:152274641-152297715,1:152302165-152325239,SufficientEvidence,NoEvidence,2/26/2020
FLNA,HGNC:3754,X:153576899-153603002,X:154348531-154374634,SufficientEvidence,NoEvidence,12/2/2020
FLNC,HGNC:3756,7:128470460-128499326,7:128830406-128859272,SufficientEvidence,NoEvidence,7/13/2021
FMR1,HGNC:3775,X:146993437-147032645,X:147911919-147951125,SufficientEvidence,NoEvidence,12/16/2020
FOXC1,HGNC:3800,6:1610150-1614132,6:1609915-1613897,SufficientEvidence,NoEvidence,7/29/2020
FOXC2,HGNC:3801,16:86600435-86603334,16:86566829-86569728,SufficientEvidence,NoEvidence,11/26/2013
FOXF1,HGNC:3809,16:86544133-86549028,16:86510527-86515422,SufficientEvidence,NoEvidence,6/20/2013
FOXG1,HGNC:3811,14:29235993-29239483,14:28766787-28770277,SufficientEvidence,NoEvidence,3/9/2021
FOXL2,HGNC:1092,3:138663066-138665979,3:138944224-138947137,SufficientEvidence,NoEvidence,2/9/2021
FOXP1,HGNC:3823,3:71003859-71633129,3:70954708-71583978,SufficientEvidence,NoEvidence,1/22/2020
FOXP2,HGNC:13875,7:113726382-114333820,7:114086327-114693765,SufficientEvidence,NoEvidence,4/8/2025
FRMD7,HGNC:8079,X:131211018-131262048,X:132076990-132128020,SufficientEvidence,NoEvidence,4/9/2020
FZD4,HGNC:4042,11:86656721-86666437,11:86945679-86955395,SufficientEvidence,NoEvidence,1/25/2023
GATA2,HGNC:4171,3:128198265-128212044,3:128479422-128493201,SufficientEvidence,NoEvidence,4/12/2023
GATA3,HGNC:4172,10:8096651-8117161,10:8045333-8075198,SufficientEvidence,NoEvidence,6/24/2020
GATA4,HGNC:4173,8:11534444-11617511,8:11676935-11760002,SufficientEvidence,NoEvidence,2/8/2017
GATA6,HGNC:4174,18:19749550-19782491,18:22169589-22202528,SufficientEvidence,NoEvidence,6/20/2013
GATAD2B,HGNC:30778,1:153777201-153895448,1:153804725-153922972,SufficientEvidence,NoEvidence,12/27/2017
GCH1,HGNC:4193,14:55308735-55369544,14:54842017-54902826,SufficientEvidence,NoEvidence,2/14/2023
GCK,HGNC:4195,7:44182812-44229038,7:44143213-44189439,SufficientEvidence,NoEvidence,10/22/2025
GDF5,HGNC:4220,20:34021145-34042571,20:35433347-35454749,SufficientEvidence,NoEvidence,2/24/2021
GK,HGNC:4289,X:30671540-30749579,X:30653423-30731462,SufficientEvidence,NoEvidence,9/6/2012
GLA,HGNC:4296,X:100652791-100662913,X:101397803-101407925,SufficientEvidence,NoEvidence,3/24/2021
GLI2,HGNC:4318,2:121493444-121750229,2:120735868-120992653,SufficientEvidence,NoEvidence,1/11/2021
GLI3,HGNC:4319,7:42000547-42276808,7:41960949-42264268,SufficientEvidence,NoEvidence,1/12/2021
GLMN,HGNC:14373,1:92711959-92764544,1:92246402-92370844,SufficientEvidence,NoEvidence,7/18/2013
GNAS,HGNC:4392,20:57414803-57486247,20:58839748-58911192,SufficientEvidence,NoEvidence,1/12/2021
GPC3,HGNC:4451,X:132669773-133119621,X:133535745-133985594,SufficientEvidence,NoEvidence,1/27/2021
GRIN2A,HGNC:4585,16:9847261-10276765,16:9753404-10182908,SufficientEvidence,NoEvidence,9/25/2024
GRIN2B,HGNC:4586,12:13690271-14134536,12:13537337-13982134,SufficientEvidence,NoEvidence,9/25/2019
HCCS,HGNC:4837,X:11129452-11141206,X:11111332-11123086,SufficientEvidence,NoEvidence,5/10/2012
HDAC8,HGNC:13315,X:71549366-71792693,X:72329516-72572843,SufficientEvidence,NoEvidence,3/28/2018
HIVEP2,HGNC:4921,6:143072606-143266313,6:142751469-142946365,SufficientEvidence,NoEvidence,4/25/2018
HMBS,HGNC:4982,11:118955591-118964259,11:119084881-119093549,SufficientEvidence,NoEvidence,1/8/2020
HNF1A,HGNC:11621,12:121416346-121440315,12:120978543-121002512,SufficientEvidence,NoEvidence,12/13/2023
HNF1B,HGNC:11630,17:36046434-36105050,17:37686431-37745059,SufficientEvidence,NoEvidence,12/21/2020
HNF4A,HGNC:5024,20:42984339-43063236,20:44355699-44434596,SufficientEvidence,NoEvidence,7/23/2025
HNRNPK,HGNC:5044,9:86582998-86595530,9:83968083-83980615,SufficientEvidence,NoEvidence,8/23/2023
HNRNPU,HGNC:5048,1:245013599-245027845,1:244850297-244864543,SufficientEvidence,NoEvidence,11/27/2024
HOXD13,HGNC:5136,2:176957449-176960672,2:176087487-176095944,SufficientEvidence,NoEvidence,9/23/2020
HPRT1,HGNC:5157,X:133594195-133634698,X:134460165-134500668,SufficientEvidence,NoEvidence,1/13/2021
IDS,HGNC:5389,X:148558519-148586836,X:149476988-149505306,SufficientEvidence,NoEvidence,11/10/2020
IGF1R,HGNC:5465,15:99191768-99507759,15:98648539-98964530,SufficientEvidence,NoEvidence,11/8/2022
IKBKG,HGNC:5961,X:153769453-153793261,X:154541238-154565046,SufficientEvidence,NoEvidence,11/10/2020
IKZF1,HGNC:13176,7:50343660-50472799,7:50303455-50405101,SufficientEvidence,NoEvidence,10/9/2025
IL1RAPL1,HGNC:5996,X:28605563-29974835,X:28587446-29956718,SufficientEvidence,NoEvidence,11/14/2023
IQSEC2,HGNC:29059,X:53262058-53350548,X:53225813-53321350,SufficientEvidence,NoEvidence,3/26/2025
IRF6,HGNC:6121,1:209958962-209979487,1:209785617-209806142,SufficientEvidence,NoEvidence,7/6/2012
JAG1,HGNC:6188,20:10618332-10654647,20:10637684-10673999,SufficientEvidence,NoEvidence,10/19/2020
KANSL1,HGNC:24565,17:44107282-44302733,17:46029916-46225367,SufficientEvidence,NoEvidence,4/11/2013
KAT6A,HGNC:13013,8:41786997-41909505,8:41929479-42051987,SufficientEvidence,NoEvidence,3/28/2018
KAT6B,HGNC:17582,10:76585013-76792382,10:74824936-75032624,SufficientEvidence,NoEvidence,4/25/2018
KCNH2,HGNC:6251,7:150642049-150675409,7:150944961-150978321,SufficientEvidence,NoEvidence,2/26/2020
KCNQ1,HGNC:6294,11:2466238-2870340,11:2445008-2849105,SufficientEvidence,NoEvidence,10/13/2020
KCNQ2,HGNC:6296,20:62031561-62104008,20:63400208-63472655,SufficientEvidence,NoEvidence,7/18/2013
KDM5C,HGNC:11114,X:53205459-53254389,X:53176277-53225207,SufficientEvidence,NoEvidence,7/27/2023
KDM6A,HGNC:12637,X:44732434-44972024,X:44873188-45112779,SufficientEvidence,NoEvidence,7/18/2013
KDM6B,HGNC:29012,17:7737535-7758114,17:7834217-7854796,SufficientEvidence,NoEvidence,10/23/2024
KIF11,HGNC:6388,10:94352887-94415152,10:92593130-92655395,SufficientEvidence,NoEvidence,8/1/2013
KIT,HGNC:6342,4:55524124-55606881,4:54657957-54740715,SufficientEvidence,NoEvidence,5/8/2024
KMT2A,HGNC:7132,11:118307207-118397547,11:118436492-118526832,SufficientEvidence,NoEvidence,5/23/2018
KMT2B,HGNC:15840,19:36208905-36229779,19:35718003-35738878,SufficientEvidence,NoEvidence,5/13/2025
KMT2C,HGNC:13726,7:151832010-152133088,7:152134925-152436003,SufficientEvidence,NoEvidence,1/24/2018
KMT2D,HGNC:7133,12:49412761-49454577,12:49018978-49060794,SufficientEvidence,NoEvidence,1/23/2020
KMT2E,HGNC:18541,7:104654652-104755466,7:105014205-105115019,SufficientEvidence,NoEvidence,12/29/2021
KMT5B,HGNC:24283,11:67922330-67981115,11:68154863-68213648,SufficientEvidence,NoEvidence,6/13/2023
L1CAM,HGNC:6470,X:153126969-153151627,X:153861514-153886173,SufficientEvidence,NoEvidence,12/2/2020
LAMP2,HGNC:6501,X:119560003-119603204,X:120426148-120469349,SufficientEvidence,NoEvidence,2/9/2021
LDLR,HGNC:6547,19:11200139-11244496,19:11089463-11133820,SufficientEvidence,NoEvidence,10/27/2021
LEMD3,HGNC:28887,12:65563363-65642135,12:65169583-65248355,SufficientEvidence,NoEvidence,10/19/2020
LGI1,HGNC:6572,10:95517693-95557916,10:93757936-93798159,SufficientEvidence,NoEvidence,7/8/2025
LMNA,HGNC:6636,1:156052364-156109872,1:156082573-156140081,SufficientEvidence,NoEvidence,12/14/2023
LMX1B,HGNC:6654,9:129376207-129463311,9:126613928-126701032,SufficientEvidence,NoEvidence,11/10/2020
MAGT1,HGNC:28880,X:77081244-77151065,X:77825747-77895568,SufficientEvidence,NoEvidence,9/22/2021
MAX,HGNC:6913,14:65472819-65569413,14:65006101-65102695,SufficientEvidence,NoEvidence,7/20/2021
MBD5,HGNC:20444,2:148778580-149274540,2:148020927-148516971,SufficientEvidence,NoEvidence,8/29/2025
MECP2,HGNC:6990,X:153287024-153363174,X:154021573-154097717,SufficientEvidence,NoEvidence,2/22/2021
MED13L,HGNC:22962,12:116396381-116715498,12:115958576-116277693,SufficientEvidence,NoEvidence,8/8/2023
MEF2C,HGNC:6996,5:88012934-88199922,5:88717117-88904105,SufficientEvidence,LittleEvidence,2/26/2020
MEIS2,HGNC:7001,15:37181405-37393512,15:36889204-37101311,SufficientEvidence,NoEvidence,9/14/2021
MEN1,HGNC:7010,11:64570986-64578766,11:64803516-64811294,SufficientEvidence,NoEvidence,1/12/2022
MID1,HGNC:7095,X:10413350-10851802,X:10445310-10833683,SufficientEvidence,NoEvidence,8/23/2021
MITF,HGNC:7105,3:69788615-70017483,3:69739464-69968332,SufficientEvidence,NoEvidence,4/13/2021
MLH1,HGNC:7127,3:37035009-37092337,3:36993466-37050846,SufficientEvidence,NoEvidence,10/13/2021
MNX1,HGNC:4979,7:156797548-156803357,7:157004854-157010663,SufficientEvidence,NoEvidence,10/4/2012
MSH2,HGNC:7325,2:47630206-47710367,2:47403067-47709830,SufficientEvidence,NoEvidence,10/13/2021
MSH6,HGNC:7329,2:48010284-48034092,2:47783145-47810101,SufficientEvidence,NoEvidence,10/13/2021
MSL3,HGNC:7370,X:11776278-11793891,X:11758159-11775772,SufficientEvidence,NoEvidence,8/23/2023
MSX1,HGNC:7391,4:4861392-4865663,4:4859665-4863936,SufficientEvidence,NoEvidence,1/12/2021
MTM1,HGNC:7448,X:149737071-149841616,X:150562653-150673143,SufficientEvidence,NoEvidence,1/11/2021
MYBPC3,HGNC:7551,11:47352957-47374253,11:47331406-47352702,SufficientEvidence,NoEvidence,1/10/2023
MYCN,HGNC:7559,2:16080672-16087126,2:15940550-15947004,SufficientEvidence,NoEvidence,7/12/2017
MYT1L,HGNC:7623,2:1792885-2335047,2:1789113-2331275,SufficientEvidence,NoEvidence,3/9/2017
NAA15,HGNC:30782,4:140222659-140312538,4:139301505-139391384,SufficientEvidence,NoEvidence,4/13/2021
NBEA,HGNC:7648,13:35516407-36246873,13:34942270-35672736,SufficientEvidence,NoEvidence,6/26/2019
NCKAP1,HGNC:7666,2:183773843-183903185,2:182909115-183038457,SufficientEvidence,NoEvidence,12/27/2017
NDP,HGNC:7678,X:43808022-43832636,X:43948776-43973390,SufficientEvidence,NoEvidence,6/14/2012
NEXMIF,HGNC:29433,X:73952691-74145287,X:74732856-74925452,SufficientEvidence,NoEvidence,6/26/2019
NF1,HGNC:7765,17:29421945-29704695,17:31094927-31377677,SufficientEvidence,NoEvidence,2/12/2023
NF2,HGNC:7773,22:29999545-30094589,22:29603556-29698600,SufficientEvidence,NoEvidence,9/8/2020
NFIA,HGNC:7784,1:61542899-61928460,1:61077227-61462788,SufficientEvidence,NoEvidence,1/12/2017
NFIB,HGNC:7785,9:14081842-14532075,9:14081843-14532077,SufficientEvidence,NoEvidence,12/10/2024
NFIX,HGNC:7788,19:13106289-13209610,19:12995475-13098796,SufficientEvidence,NoEvidence,4/12/2022
NHS,HGNC:7820,X:17393323-17754114,X:17375200-17735994,SufficientEvidence,NoEvidence,4/28/2021
NIPBL,HGNC:28862,5:36876871-37066515,5:36876769-37066413,SufficientEvidence,LittleEvidence,8/26/2020
NKX2-5,HGNC:2488,5:172659112-172662209,5:173232109-173235206,SufficientEvidence,NoEvidence,7/22/2020
NOG,HGNC:7866,17:54671060-54672972,17:56593699-56595611,SufficientEvidence,NoEvidence,1/12/2021
NONO,HGNC:7871,X:70503485-70521018,X:71283635-71301168,SufficientEvidence,NoEvidence,7/24/2024
NOTCH1,HGNC:7881,9:139388885-139440500,9:136494433-136546048,SufficientEvidence,NoEvidence,9/24/2024
NPRL3,HGNC:14124,16:135385-188672,16:85386-138673,SufficientEvidence,NoEvidence,12/12/2023
NR0B1,HGNC:7960,X:30322323-30327507,X:30304206-30309390,SufficientEvidence,NoEvidence,5/6/2020
NR2F1,HGNC:7975,5:92918928-92930317,5:93583222-93594611,SufficientEvidence,NoEvidence,8/9/2022
NR3C2,HGNC:7979,4:148999915-149365850,4:148078764-148445508,SufficientEvidence,NoEvidence,4/6/2020
NR4A2,HGNC:7981,2:157180949-157189233,2:156324437-156332721,SufficientEvidence,NoEvidence,9/27/2022
NR5A1,HGNC:7983,9:127243515-127269678,9:124481236-124507399,SufficientEvidence,NoEvidence,2/24/2021
NRXN1,HGNC:8008,2:50145641-51259270,2:49918503-51032132,SufficientEvidence,NoEvidence,6/8/2021
NSD1,HGNC:14234,5:176560016-176727214,5:177131798-177300213,SufficientEvidence,NoEvidence,7/27/2020
NSD2,HGNC:12766,4:1873120-1983919,4:1871393-1982192,SufficientEvidence,NoEvidence,10/25/2023
NSDHL,HGNC:13398,X:151999607-152038273,X:152831063-152869729,SufficientEvidence,NoEvidence,9/25/2019
NUS1,HGNC:21042,6:117996632-118031890,6:117675469-117710727,SufficientEvidence,NoEvidence,9/27/2022
NYX,HGNC:8082,X:41306596-41334905,X:41447343-41475652,SufficientEvidence,NoEvidence,1/22/2020
OCRL,HGNC:8108,X:128674236-128726533,X:129540259-129592556,SufficientEvidence,NoEvidence,1/12/2021
OFD1,HGNC:2567,X:13752867-13787476,X:13714505-13773738,SufficientEvidence,NoEvidence,4/13/2021
OPHN1,HGNC:8148,X:67262186-67653337,X:68042344-68433841,SufficientEvidence,NoEvidence,3/22/2023
OTC,HGNC:8512,X:38211857-38280699,X:38327684-38422928,SufficientEvidence,NoEvidence,6/28/2012
OTX2,HGNC:8522,14:57266623-57277197,14:56799905-56810479,SufficientEvidence,NoEvidence,9/8/2020
